material,weight_kg,transport_mode,transport_distance_km,manufacturing_intensity,material_co2,manufacturing_co2,transport_co2,total_co2_kg,material_encoded,transport_encoded,intensity_encoded
Fish_Farmed,3.183,SEA,9961.9,LOW,16.233,1.432,0.476,18.2,11,3,1
Potatoes,4.356,SEA,6267.4,LOW,2.178,1.089,0.409,3.52,25,3,1
Turkey,1.329,ROAD,1587.4,MEDIUM,14.486,1.993,0.253,16.633,31,2,2
Tomatoes,1.618,SEA,11331.7,LOW,3.398,0.485,0.275,3.953,30,3,1
Turkey,2.667,RAIL,458.3,LOW,29.065,1.333,0.031,31.305,31,1,1
Polyester,1.807,RAIL,2531.3,MEDIUM,11.201,4.065,0.114,15.087,23,1,2
Lettuce,100.0,ROAD,794.0,LOW,90.0,25.0,9.528,121.408,17,2,1
Lentils,0.204,SEA,15967.5,LOW,0.184,0.061,0.049,0.289,16,3,1
Lamb,1.64,SEA,9997.5,MEDIUM,39.354,2.952,0.246,39.681,14,3,2
Potatoes,2.293,AIR,11912.0,LOW,1.146,0.573,25.943,25.317,25,0,1
Glass,10.416,ROAD,715.5,LOW,9.374,6.25,0.894,16.239,13,2,1
Plastic,2.741,ROAD,420.6,LOW,9.594,2.193,0.138,12.689,22,2,1
Glass,2.535,ROAD,2633.9,HIGH,2.282,10.649,0.801,12.845,13,2,0
Butter,9.659,ROAD,797.3,HIGH,115.911,30.427,0.924,139.901,5,2,0
Nuts,14.002,ROAD,379.2,LOW,32.205,4.901,0.637,36.834,19,2,1
Aluminum,4.867,ROAD,1531.7,HIGH,39.91,42.587,0.895,88.123,0,2,0
Oats,39.066,ROAD,1233.4,HIGH,62.506,95.713,5.782,163.804,20,2,0
Butter,3.282,RAIL,3344.1,HIGH,39.383,10.338,0.274,53.774,5,1,0
Beef,6.091,ROAD,1673.9,HIGH,164.468,25.584,1.224,199.19,4,2,0
Turkey,1.571,SEA,9292.4,MEDIUM,17.126,2.357,0.219,21.019,31,3,2
Lettuce,5.281,ROAD,958.4,HIGH,4.753,9.242,0.607,14.417,17,2,0
Beef,4.077,ROAD,791.8,MEDIUM,110.07,7.338,0.387,118.702,4,2,2
Butter,4.705,ROAD,2089.5,MEDIUM,56.455,6.351,1.18,60.559,5,2,2
Shrimp,3.336,SEA,9218.0,HIGH,60.048,15.179,0.461,73.146,27,3,0
Fish_Farmed,0.236,RAIL,854.2,LOW,1.204,0.106,0.005,1.26,11,1,1
Steel,0.788,ROAD,1386.1,HIGH,2.206,4.963,0.131,7.318,28,2,0
Rice,1.264,ROAD,1662.5,MEDIUM,5.058,1.517,0.252,6.574,26,2,2
Eggs,2.187,SEA,6845.2,LOW,10.496,0.984,0.225,11.994,10,3,1
Lettuce,5.006,ROAD,108.1,LOW,4.506,1.252,0.065,6.277,17,2,1
Lentils,6.122,AIR,12001.8,LOW,5.509,1.836,69.797,75.65,16,0,1
Cotton,2.272,RAIL,1796.5,MEDIUM,12.497,4.431,0.102,15.177,9,1,2
Cotton,2.121,SEA,12324.7,MEDIUM,11.666,4.136,0.392,16.307,9,3,2
Plastic,2.565,ROAD,323.1,MEDIUM,8.976,6.155,0.099,14.425,22,2,2
Apples,0.716,ROAD,1036.3,LOW,0.286,0.179,0.089,0.548,1,2,1
Oats,2.576,ROAD,881.6,MEDIUM,4.122,2.705,0.273,7.161,20,2,2
Paper,0.563,SEA,14601.5,MEDIUM,0.732,0.845,0.123,1.696,21,3,2
Rice,2.5,ROAD,773.7,LOW,9.999,1.0,0.232,12.037,26,2,1
Glass,9.812,AIR,3999.2,LOW,8.831,5.887,37.278,52.565,13,0,1
Eggs,1.775,ROAD,1820.3,LOW,8.52,0.799,0.388,10.105,10,2,1
Butter,0.709,ROAD,2157.5,LOW,8.508,0.319,0.184,9.131,5,2,1
Eggs,1.785,RAIL,2075.4,LOW,8.569,0.803,0.093,8.855,10,1,1
Fish_Wild,5.575,RAIL,2947.2,LOW,16.167,2.23,0.411,19.462,12,1,1
Wheat,2.302,ROAD,515.1,LOW,3.222,0.806,0.142,4.325,32,2,1
Cotton,2.146,SEA,16035.4,LOW,11.804,1.395,0.516,13.429,9,3,1
Shrimp,0.243,ROAD,2035.0,HIGH,4.366,1.104,0.059,5.654,27,2,0
Fish_Wild,1.399,SEA,15778.3,MEDIUM,4.057,1.679,0.331,5.938,12,3,2
Steel,1.156,RAIL,1407.7,HIGH,3.238,7.285,0.041,10.468,28,1,0
Rice,3.199,RAIL,1539.2,LOW,12.797,1.28,0.123,13.894,26,1,1
Potatoes,0.613,ROAD,685.5,LOW,0.306,0.153,0.05,0.537,25,2,1
Wood,0.102,ROAD,1529.1,HIGH,0.051,0.286,0.019,0.341,33,2,0
Rice,1.438,SEA,18843.5,MEDIUM,5.753,1.726,0.407,8.002,26,3,2
Plastic,0.58,SEA,6982.9,LOW,2.029,0.464,0.061,2.824,22,3,1
Glass,0.49,AIR,2341.2,HIGH,0.441,2.058,1.09,3.461,13,0,0
Glass,4.332,ROAD,748.5,MEDIUM,3.899,7.798,0.389,12.998,13,2,2
Shrimp,1.736,ROAD,580.3,MEDIUM,31.253,3.386,0.121,34.159,27,2,2
Cotton,2.898,ROAD,303.1,LOW,15.938,1.884,0.105,17.355,9,2,1
Beef,0.853,ROAD,2791.4,MEDIUM,23.035,1.536,0.286,25.696,4,2,2
Cotton,3.151,SEA,13953.6,MEDIUM,17.331,6.145,0.66,25.16,9,3,2
Wool,1.33,RAIL,994.1,LOW,13.83,0.931,0.033,14.788,34,1,1
Rice,0.533,ROAD,1198.1,LOW,2.13,0.213,0.077,2.237,26,2,1
Beans,1.159,SEA,9426.6,LOW,1.159,0.348,0.164,1.686,3,3,1
Wheat,3.538,ROAD,1233.0,LOW,4.953,1.238,0.524,5.89,32,2,1
Milk,1.102,AIR,3506.1,LOW,2.094,0.386,3.671,6.662,18,0,1
Bananas,1.264,SEA,6533.5,MEDIUM,0.885,0.948,0.124,2.031,2,3,2
Paper,0.914,ROAD,398.5,MEDIUM,1.189,1.372,0.044,2.682,21,2,2
Paper,2.264,ROAD,539.6,MEDIUM,2.944,3.396,0.147,6.385,21,2,2
Pork,20.047,ROAD,812.5,MEDIUM,242.574,33.078,1.955,289.19,24,2,2
Cotton,1.952,SEA,8195.1,LOW,10.736,1.269,0.24,12.097,9,3,1
Plastic,0.476,ROAD,917.0,LOW,1.667,0.381,0.052,2.148,22,2,1
Rice,2.077,RAIL,4175.7,LOW,8.306,0.831,0.217,10.321,26,1,1
Beef,9.816,AIR,11338.0,MEDIUM,265.03,17.669,105.728,404.246,4,0,2
Aluminum,0.421,AIR,12567.0,HIGH,3.452,3.684,5.026,12.698,0,0,0
Cheese,0.526,ROAD,2509.8,MEDIUM,7.106,0.79,0.159,7.89,6,2,2
Tomatoes,1.598,SEA,16826.9,LOW,3.355,0.479,0.403,4.214,30,3,1
Apples,0.742,RAIL,3533.2,LOW,0.297,0.186,0.066,0.591,1,1,1
Bananas,5.919,SEA,19249.8,LOW,4.143,1.48,1.709,7.095,2,3,1
Plastic,0.67,ROAD,1870.5,MEDIUM,2.347,1.609,0.15,4.156,22,2,2
Chicken,4.868,SEA,7732.9,LOW,33.589,2.434,0.565,36.436,7,3,1
Cheese,0.392,ROAD,123.6,MEDIUM,5.292,0.588,0.006,5.895,6,2,2
Paper,0.244,RAIL,979.0,LOW,0.317,0.122,0.006,0.46,21,1,1
Tomatoes,0.408,RAIL,1285.0,MEDIUM,0.856,0.367,0.013,1.166,30,1,2
Glass,10.347,RAIL,3566.8,LOW,9.313,6.208,0.923,16.911,13,1,1
Beans,2.788,SEA,13424.8,MEDIUM,2.788,2.509,0.561,5.661,3,3,2
Plastic,1.433,SEA,16609.0,LOW,5.015,1.146,0.357,6.476,22,3,1
Corn,1.065,SEA,15591.4,MEDIUM,1.172,1.119,0.249,2.378,8,3,2
Oats,2.468,AIR,2637.4,MEDIUM,3.948,2.591,6.183,12.187,20,0,2
Lettuce,0.702,ROAD,1424.9,MEDIUM,0.632,0.527,0.12,1.407,17,2,2
Lettuce,2.051,ROAD,1422.0,HIGH,1.846,3.589,0.35,6.078,17,2,0
Pork,0.073,RAIL,559.8,HIGH,0.884,0.281,0.001,1.193,24,1,0
Fish_Farmed,13.739,ROAD,137.4,LOW,70.07,6.183,0.227,84.166,11,2,1
Shrimp,0.55,ROAD,846.7,MEDIUM,9.906,1.073,0.056,10.314,27,2,2
Corn,0.994,ROAD,1694.5,HIGH,1.094,2.436,0.202,3.693,8,2,0
Cheese,0.204,AIR,14997.7,HIGH,2.749,0.713,2.902,6.476,6,0,0
Tomatoes,1.327,SEA,18682.4,HIGH,2.787,2.787,0.372,5.717,30,3,0
Apples,13.114,SEA,9240.9,LOW,5.246,3.278,1.818,10.069,1,3,1
Bananas,0.704,RAIL,4814.7,LOW,0.493,0.176,0.085,0.785,2,1,1
Shrimp,10.43,SEA,19591.2,MEDIUM,187.745,20.339,3.065,209.887,27,3,2
Wheat,4.807,ROAD,2663.2,LOW,6.729,1.682,1.536,9.471,32,2,1
Steel,0.886,ROAD,1174.1,HIGH,2.481,5.582,0.125,8.503,28,2,0
Plastic,2.811,SEA,19757.1,LOW,9.838,2.249,0.833,13.021,22,3,1
Wood,0.232,ROAD,2543.4,HIGH,0.116,0.65,0.071,0.83,33,2,0
Wheat,1.891,ROAD,609.7,LOW,2.647,0.662,0.138,3.487,32,2,1
Lamb,0.983,ROAD,1878.9,HIGH,23.596,4.129,0.222,29.159,14,2,0
Apples,0.289,RAIL,3600.4,LOW,0.116,0.072,0.026,0.211,1,1,1
Beef,2.637,SEA,8480.8,MEDIUM,71.205,4.747,0.335,69.593,4,3,2
Wool,1.651,SEA,9696.4,MEDIUM,17.173,3.468,0.24,22.357,34,3,2
Glass,1.316,AIR,3137.7,HIGH,1.184,5.526,3.922,9.767,13,0,0
Lentils,0.194,AIR,5876.8,MEDIUM,0.174,0.174,1.082,1.351,16,0,2
Wool,14.569,SEA,13270.0,MEDIUM,151.517,30.595,2.9,174.074,34,3,2
Wool,0.747,SEA,12220.9,LOW,7.766,0.523,0.137,8.265,34,3,1
Eggs,1.869,ROAD,870.5,MEDIUM,8.972,2.523,0.195,12.543,10,2,2
Leather,5.321,SEA,10709.9,MEDIUM,90.463,15.964,0.855,109.078,15,3,2
Paper,4.678,ROAD,1024.6,MEDIUM,6.081,7.017,0.575,13.514,21,2,2
Pork,2.341,SEA,17138.5,HIGH,28.322,9.011,0.602,37.039,24,3,0
Nuts,1.532,RAIL,2910.2,HIGH,3.525,3.754,0.111,7.105,19,1,0
Tofu,6.616,ROAD,467.6,LOW,13.232,2.646,0.371,15.911,29,2,1
Tomatoes,1.603,SEA,19654.7,LOW,3.366,0.481,0.473,4.409,30,3,1
Cheese,2.227,ROAD,1838.4,HIGH,30.071,7.796,0.491,35.546,6,2,0
Steel,1.145,ROAD,802.2,MEDIUM,3.205,3.091,0.11,6.447,28,2,2
Oats,2.354,SEA,13298.9,HIGH,3.766,5.766,0.469,9.218,20,3,0
Apples,1.066,SEA,9152.8,LOW,0.427,0.267,0.146,0.83,1,3,1
Rice,3.262,SEA,10304.6,LOW,13.049,1.305,0.504,13.85,26,3,1
Nuts,0.344,SEA,14469.4,MEDIUM,0.792,0.361,0.075,1.244,19,3,2
Tofu,0.986,SEA,16931.4,MEDIUM,1.971,1.183,0.25,2.999,29,3,2
Leather,1.638,SEA,16692.7,HIGH,27.843,11.465,0.41,41.001,15,3,0
Nuts,0.132,SEA,11470.5,LOW,0.305,0.046,0.023,0.38,19,3,1
Shrimp,2.673,ROAD,615.4,MEDIUM,48.109,5.212,0.197,54.05,27,2,2
Paper,0.334,ROAD,1517.6,LOW,0.434,0.167,0.061,0.621,21,2,1
Tomatoes,1.139,SEA,16630.6,MEDIUM,2.393,1.025,0.284,3.697,30,3,2
Shrimp,1.265,ROAD,1932.2,HIGH,22.776,5.757,0.293,27.555,27,2,0
Chicken,0.24,RAIL,3739.2,LOW,1.656,0.12,0.022,1.995,7,1,1
Glass,0.375,SEA,9187.4,MEDIUM,0.337,0.674,0.052,1.094,13,3,2
Beef,1.422,AIR,3216.2,MEDIUM,38.391,2.559,4.344,46.735,4,0,2
Steel,1.136,SEA,16781.6,HIGH,3.18,7.155,0.286,10.832,28,3,0
Milk,0.495,ROAD,1185.8,MEDIUM,0.941,0.52,0.07,1.52,18,2,2
Fish_Wild,14.996,ROAD,943.5,LOW,43.488,5.998,1.698,47.848,12,2,1
Lentils,1.065,SEA,12576.1,LOW,0.958,0.319,0.201,1.426,16,3,1
Oats,5.095,ROAD,330.0,HIGH,8.152,12.483,0.202,19.942,20,2,0
Apples,3.687,ROAD,574.9,MEDIUM,1.475,2.766,0.254,4.813,1,2,2
Turkey,0.143,ROAD,2677.8,MEDIUM,1.56,0.215,0.046,1.841,31,2,2
Shrimp,0.193,AIR,7571.0,HIGH,3.482,0.88,1.391,6.108,27,0,0
Eggs,7.229,RAIL,2316.3,MEDIUM,34.698,9.759,0.419,46.024,10,1,2
Lamb,0.663,SEA,11544.5,MEDIUM,15.915,1.194,0.115,17.554,14,3,2
Plastic,2.354,SEA,15063.4,MEDIUM,8.238,5.649,0.532,15.415,22,3,2
Chicken,2.724,ROAD,1866.6,LOW,18.797,1.362,0.61,21.096,7,2,1
Cotton,1.425,ROAD,2344.7,LOW,7.84,0.927,0.401,8.506,9,2,1
Beef,0.35,RAIL,3354.6,HIGH,9.447,1.47,0.029,10.458,4,1,0
Cheese,3.783,RAIL,1594.6,MEDIUM,51.068,5.674,0.151,59.036,6,1,2
Cotton,2.604,ROAD,1510.3,LOW,14.324,1.693,0.472,16.288,9,2,1
Corn,1.478,ROAD,2798.8,MEDIUM,1.626,1.552,0.497,3.546,8,2,2
Milk,0.479,RAIL,1044.6,HIGH,0.909,1.173,0.012,2.116,18,1,0
Eggs,0.477,ROAD,2307.1,MEDIUM,2.289,0.644,0.132,2.953,10,2,2
Plastic,3.234,ROAD,578.7,MEDIUM,11.319,7.762,0.225,17.455,22,2,2
Tofu,0.677,ROAD,129.3,LOW,1.354,0.271,0.011,1.681,29,2,1
Oats,1.587,ROAD,2884.2,MEDIUM,2.54,1.667,0.549,4.673,20,2,2
Shrimp,1.555,SEA,6752.4,MEDIUM,27.99,3.032,0.157,28.346,27,3,2
Leather,2.023,SEA,19200.0,HIGH,34.392,14.161,0.583,46.053,15,3,0
Fish_Wild,6.404,ROAD,2634.8,LOW,18.573,2.562,2.025,23.076,12,2,1
Oats,1.263,AIR,10691.7,MEDIUM,2.02,1.326,12.826,16.088,20,0,2
Glass,1.231,ROAD,1550.1,HIGH,1.108,5.17,0.229,6.23,13,2,0
Rice,0.35,ROAD,2557.2,MEDIUM,1.399,0.42,0.107,1.846,26,2,2
Glass,4.476,SEA,14465.3,HIGH,4.028,18.797,0.971,25.366,13,3,0
Aluminum,1.453,AIR,14123.7,HIGH,11.915,12.714,19.496,44.085,0,0,0
Wool,0.285,AIR,3100.1,MEDIUM,2.964,0.598,0.839,4.488,34,0,2
Nuts,1.999,ROAD,2848.5,LOW,4.597,0.7,0.683,6.325,19,2,1
Corn,0.1,ROAD,2808.6,LOW,0.11,0.035,0.034,0.194,8,2,1
Steel,0.342,RAIL,2052.5,HIGH,0.958,2.155,0.018,3.051,28,1,0
Eggs,0.728,ROAD,622.1,LOW,3.496,0.328,0.054,4.387,10,2,1
Potatoes,0.564,ROAD,1748.3,MEDIUM,0.282,0.423,0.118,0.803,25,2,2
Polyester,0.598,ROAD,1752.7,LOW,3.711,0.449,0.126,4.382,23,2,1
Wool,0.471,AIR,7348.2,HIGH,4.896,2.307,3.286,10.358,34,0,0
Leather,12.798,ROAD,1582.1,HIGH,217.574,89.589,2.43,312.296,15,2,0
Turkey,1.737,ROAD,702.9,MEDIUM,18.928,2.605,0.146,21.728,31,2,2
Leather,0.358,ROAD,839.8,HIGH,6.085,2.506,0.036,8.547,15,2,0
Nuts,5.107,ROAD,1119.3,LOW,11.746,1.787,0.686,14.11,19,2,1
Lamb,1.888,SEA,18957.6,MEDIUM,45.3,3.398,0.537,48.597,14,3,2
Fish_Wild,0.724,ROAD,2174.1,LOW,2.099,0.29,0.189,2.431,12,2,1
Glass,0.637,SEA,8984.8,LOW,0.573,0.382,0.086,1.09,13,3,1
Wheat,7.802,ROAD,1255.5,LOW,10.923,2.731,1.175,16.085,32,2,1
Lentils,1.973,ROAD,261.3,LOW,1.776,0.592,0.062,2.177,16,2,1
Eggs,0.936,AIR,5006.3,MEDIUM,4.495,1.264,4.453,10.015,10,0,2
Paper,1.189,ROAD,1585.7,LOW,1.546,0.595,0.226,2.386,21,2,1
Steel,3.271,SEA,5350.0,HIGH,9.158,20.606,0.262,29.486,28,3,0
Pork,7.613,SEA,10155.3,MEDIUM,92.123,12.562,1.16,105.222,24,3,2
Bananas,0.957,SEA,5976.5,LOW,0.67,0.239,0.086,1.019,2,3,1
Leather,3.313,AIR,2092.9,MEDIUM,56.321,9.939,6.587,74.538,15,0,2
Wool,6.975,ROAD,988.5,MEDIUM,72.536,14.647,0.827,89.591,34,2,2
Wool,1.968,ROAD,2873.3,HIGH,20.465,9.642,0.678,32.999,34,2,0
Rice,0.435,AIR,3590.6,LOW,1.738,0.174,1.482,3.177,26,0,1
Leather,1.314,SEA,18768.8,HIGH,22.337,9.198,0.37,31.127,15,3,0
Turkey,0.711,SEA,8371.5,MEDIUM,7.749,1.066,0.089,8.38,31,3,2
Shrimp,2.569,SEA,15080.9,HIGH,46.25,11.691,0.581,56.856,27,3,0
Beef,2.272,ROAD,1840.4,MEDIUM,61.343,4.09,0.502,67.977,4,2,2
Cotton,2.269,ROAD,2219.8,MEDIUM,12.481,4.425,0.604,17.398,9,2,2
Beans,1.158,ROAD,2992.4,LOW,1.158,0.347,0.416,1.743,3,2,1
Leather,2.585,SEA,15583.1,HIGH,43.952,18.098,0.604,63.9,15,3,0
Shrimp,2.509,SEA,8410.4,MEDIUM,45.164,4.893,0.317,53.505,27,3,2
Glass,2.796,SEA,17034.0,LOW,2.517,1.678,0.715,4.699,13,3,1
Pork,2.983,SEA,8669.0,MEDIUM,36.09,4.921,0.388,41.529,24,3,2
Polyester,0.935,SEA,16400.9,LOW,5.798,0.701,0.23,6.651,23,3,1
Nuts,6.142,ROAD,651.0,HIGH,14.127,15.048,0.48,30.587,19,2,0
Chicken,1.734,SEA,11915.9,LOW,11.967,0.867,0.31,12.902,7,3,1
Butter,43.883,SEA,13275.1,HIGH,526.6,138.233,8.738,626.288,5,3,0
Pork,2.537,ROAD,2368.8,MEDIUM,30.693,4.185,0.721,35.811,24,2,2
Turkey,2.246,ROAD,191.3,MEDIUM,24.485,3.369,0.052,29.021,31,2,2
Tomatoes,2.518,ROAD,2721.6,HIGH,5.288,5.288,0.822,11.566,30,2,0
Pork,0.07,SEA,13111.8,HIGH,0.85,0.271,0.014,1.253,24,3,0
Plastic,0.166,ROAD,2049.3,LOW,0.581,0.133,0.041,0.752,22,2,1
Lettuce,2.824,AIR,8106.3,LOW,2.541,0.706,21.744,23.625,17,0,1
Rice,4.82,ROAD,1563.9,MEDIUM,19.279,5.784,0.904,27.303,26,2,2
Tofu,2.485,ROAD,496.9,LOW,4.969,0.994,0.148,5.987,29,2,1
Fish_Wild,1.77,ROAD,2239.8,MEDIUM,5.133,2.124,0.476,7.792,12,2,2
Cotton,0.721,SEA,19509.7,LOW,3.963,0.468,0.211,4.716,9,3,1
Lentils,5.077,ROAD,1552.8,LOW,4.569,1.523,0.946,6.982,16,2,1
Cotton,0.154,AIR,7430.7,MEDIUM,0.847,0.3,1.087,2.32,9,0,2
Oats,5.533,SEA,8157.8,LOW,8.853,1.937,0.677,11.662,20,3,1
Milk,0.303,ROAD,2846.8,MEDIUM,0.576,0.318,0.104,0.991,18,2,2
Milk,0.574,SEA,9345.7,HIGH,1.09,1.405,0.08,2.678,18,3,0
Lentils,0.368,ROAD,2042.9,LOW,0.332,0.111,0.09,0.476,16,2,1
Fish_Wild,0.513,SEA,10684.4,LOW,1.487,0.205,0.082,1.854,12,3,1
Fish_Farmed,0.34,SEA,13686.6,LOW,1.736,0.153,0.07,1.953,11,3,1
Steel,0.276,SEA,7743.5,MEDIUM,0.773,0.745,0.032,1.615,28,3,2
Apples,1.459,SEA,6715.1,MEDIUM,0.584,1.094,0.147,1.851,1,3,2
Bananas,0.625,ROAD,637.1,LOW,0.438,0.156,0.048,0.675,2,2,1
Eggs,13.372,AIR,4891.2,HIGH,64.186,42.122,62.135,173.982,10,0,0
Cotton,1.295,ROAD,2052.9,MEDIUM,7.124,2.526,0.319,9.167,9,2,2
Chicken,1.832,ROAD,1513.7,LOW,12.643,0.916,0.333,12.527,7,2,1
Bananas,1.569,ROAD,2935.3,MEDIUM,1.098,1.177,0.553,2.808,2,2,2
Paper,2.085,SEA,19489.1,MEDIUM,2.71,3.127,0.609,6.628,21,3,2
Turkey,4.083,SEA,8502.1,MEDIUM,44.508,6.125,0.521,56.156,31,3,2
Bananas,0.637,ROAD,2609.8,LOW,0.446,0.159,0.199,0.869,2,2,1
Bananas,0.295,ROAD,169.7,LOW,0.207,0.074,0.006,0.301,2,2,1
Wool,3.92,ROAD,2368.0,MEDIUM,40.77,8.232,1.114,49.841,34,2,2
Corn,1.346,RAIL,2325.1,HIGH,1.481,3.298,0.078,4.883,8,1,0
Wool,1.587,ROAD,890.6,MEDIUM,16.503,3.332,0.17,19.043,34,2,2
Steel,2.133,SEA,7033.0,MEDIUM,5.971,5.758,0.225,12.04,28,3,2
Cotton,2.834,SEA,7324.1,MEDIUM,15.586,5.526,0.311,22.223,9,3,2
Cheese,13.227,ROAD,2716.8,HIGH,178.561,46.294,4.312,240.976,6,2,0
Lamb,2.128,ROAD,2357.6,HIGH,51.076,8.938,0.602,60.205,14,2,0
Pork,2.632,RAIL,1543.8,HIGH,31.844,10.132,0.102,41.318,24,1,0
Rice,0.117,ROAD,1275.5,LOW,0.468,0.047,0.018,0.48,26,2,1
Lentils,22.219,ROAD,224.0,LOW,19.997,6.666,0.597,26.845,16,2,1
Eggs,1.62,ROAD,2712.5,HIGH,7.778,5.104,0.527,13.867,10,2,0
Leather,1.073,ROAD,2865.5,HIGH,18.236,7.509,0.369,27.754,15,2,0
Beef,2.908,SEA,7990.1,HIGH,78.503,12.212,0.348,87.51,4,3,0
Wheat,0.41,SEA,6887.8,LOW,0.574,0.143,0.042,0.768,32,3,1
Shrimp,0.551,RAIL,707.2,MEDIUM,9.916,1.074,0.01,11.488,27,1,2
Pork,4.385,AIR,3216.8,HIGH,53.064,16.884,13.402,79.177,24,0,0
Wool,1.585,SEA,17033.9,HIGH,16.482,7.765,0.405,24.072,34,3,0
Milk,15.199,AIR,6322.5,MEDIUM,28.878,15.959,91.289,133.735,18,0,2
Eggs,0.265,SEA,10111.2,MEDIUM,1.273,0.358,0.04,1.644,10,3,2
Potatoes,0.92,RAIL,3454.7,LOW,0.46,0.23,0.079,0.772,25,1,1
Beans,1.477,SEA,19642.6,MEDIUM,1.477,1.329,0.435,3.656,3,3,2
Butter,0.432,ROAD,577.6,LOW,5.18,0.194,0.03,4.984,5,2,1
Eggs,3.048,SEA,15306.6,LOW,14.63,1.372,0.7,18.018,10,3,1
Milk,0.788,SEA,7467.3,LOW,1.497,0.276,0.088,1.95,18,3,1
Rice,0.688,RAIL,872.6,MEDIUM,2.754,0.826,0.015,3.732,26,1,2
Lentils,0.941,ROAD,1027.0,LOW,0.847,0.282,0.116,1.236,16,2,1
Bananas,0.988,ROAD,1366.1,LOW,0.692,0.247,0.162,1.173,2,2,1
Oats,0.13,SEA,7776.5,LOW,0.207,0.045,0.015,0.296,20,3,1
Potatoes,4.804,AIR,12463.1,LOW,2.402,1.201,56.881,62.947,25,0,1
Cheese,1.888,SEA,7328.6,MEDIUM,25.482,2.831,0.207,25.698,6,3,2
Turkey,13.819,SEA,5054.4,HIGH,150.632,48.368,1.048,188.889,31,3,0
Tofu,2.587,RAIL,2152.3,LOW,5.174,1.035,0.139,6.284,29,1,1
Glass,2.756,SEA,14723.2,MEDIUM,2.48,4.96,0.609,8.665,13,3,2
Bananas,1.25,AIR,13302.5,MEDIUM,0.875,0.937,15.794,17.362,2,0,2
Fish_Wild,2.082,SEA,11686.4,LOW,6.037,0.833,0.365,7.83,12,3,1
Milk,3.356,AIR,7080.3,HIGH,6.376,8.222,22.572,36.83,18,0,0
Corn,0.213,SEA,6802.1,MEDIUM,0.234,0.223,0.022,0.523,8,3,2
Corn,1.27,ROAD,1794.1,MEDIUM,1.397,1.333,0.273,3.15,8,2,2
Chicken,0.469,ROAD,2337.4,LOW,3.234,0.234,0.131,3.646,7,2,1
Tomatoes,2.08,SEA,15463.5,MEDIUM,4.368,1.872,0.482,7.282,30,3,2
Fish_Farmed,4.568,ROAD,2904.1,MEDIUM,23.297,6.167,1.592,32.901,11,2,2
Paper,4.347,ROAD,2776.7,LOW,5.652,2.174,1.449,8.822,21,2,1
Lamb,0.651,SEA,8299.6,MEDIUM,15.626,1.172,0.081,15.629,14,3,2
Aluminum,0.792,RAIL,1828.4,HIGH,6.495,6.931,0.036,12.866,0,1,0
Plastic,11.72,ROAD,113.6,MEDIUM,41.019,28.127,0.16,80.101,22,2,2
Turkey,0.539,ROAD,932.9,LOW,5.876,0.27,0.06,6.229,31,2,1
Wool,1.515,RAIL,2844.3,LOW,15.756,1.06,0.108,17.857,34,1,1
Beef,14.64,AIR,7374.8,MEDIUM,395.281,26.352,102.569,522.392,4,0,2
Wheat,3.591,ROAD,2967.4,LOW,5.028,1.257,1.279,7.25,32,2,1
Cotton,2.185,SEA,10472.2,LOW,12.017,1.42,0.343,13.612,9,3,1
Lettuce,2.285,SEA,11916.2,MEDIUM,2.057,1.714,0.409,4.173,17,3,2
Shrimp,13.389,ROAD,2322.1,HIGH,240.994,60.918,3.731,306.765,27,2,0
Beef,1.028,ROAD,933.3,MEDIUM,27.755,1.85,0.115,29.198,4,2,2
Beans,1.915,ROAD,449.4,LOW,1.915,0.575,0.103,2.971,3,2,1
Tomatoes,4.838,ROAD,2782.5,MEDIUM,10.16,4.354,1.616,17.331,30,2,2
Wheat,1.228,ROAD,1921.6,MEDIUM,1.719,1.289,0.283,3.584,32,2,2
Cheese,0.379,ROAD,908.2,MEDIUM,5.121,0.569,0.041,5.482,6,2,2
Paper,6.574,ROAD,1939.5,MEDIUM,8.546,9.86,1.53,21.709,21,2,2
Plastic,5.632,SEA,10651.2,MEDIUM,19.713,13.518,0.9,34.128,22,3,2
Milk,1.079,ROAD,1773.5,LOW,2.05,0.378,0.23,2.698,18,2,1
Apples,0.471,SEA,15090.9,MEDIUM,0.188,0.353,0.107,0.707,1,3,2
Corn,1.339,SEA,12499.9,LOW,1.473,0.469,0.251,2.206,8,3,1
Tofu,0.917,SEA,17918.8,LOW,1.834,0.367,0.246,2.509,29,3,1
Tomatoes,3.275,AIR,11021.1,LOW,6.878,0.983,34.291,45.019,30,0,1
Rice,5.783,ROAD,2688.7,LOW,23.134,2.313,1.866,26.341,26,2,1
Apples,1.259,SEA,17051.5,LOW,0.504,0.315,0.322,1.059,1,3,1
Wool,0.875,ROAD,525.8,MEDIUM,9.099,1.837,0.055,11.18,34,2,2
Cotton,1.853,ROAD,2446.3,LOW,10.19,1.204,0.544,11.466,9,2,1
Potatoes,1.123,RAIL,2082.6,LOW,0.562,0.281,0.058,0.893,25,1,1
Turkey,1.712,ROAD,201.3,MEDIUM,18.665,2.569,0.041,21.066,31,2,2
Lettuce,0.262,ROAD,2030.4,HIGH,0.235,0.458,0.064,0.776,17,2,0
Aluminum,0.639,SEA,18236.7,HIGH,5.24,5.591,0.175,10.918,0,3,0
Milk,1.773,SEA,12997.0,LOW,3.369,0.621,0.346,4.258,18,3,1
